"","H2","H3","H6","H7","H8","W1","W10","W6","W7","W9"
"ADAM2_ENSSSCG00000045907_ENSSSCT00000017212_89_2294_2612",0,0,0,0,0,1,0,0,0,0
"ADAM33_ENSSSCG00000007145_ENSSSCT00000040912_43_2413_3228",0,1,71,0,87,0,1,1,0,1
"ADAM3A_ENSSSCG00000007009_ENSSSCT00000007677_77_2306_2309",0,1,0,0,0,1,0,0,0,0
"ADAM7_ENSSSCG00000009646_ENSSSCT00000088459_199_2374_3639",0,1,1,0,1,0,0,0,0,0
"ADAM8_ENSSSCG00000010772_ENSSSCT00000033889_185_2690_3195",4,6,7,18,31,11,98,47,167,150
"ADAM9_ENSSSCG00000015808_ENSSSCT00000017216_121_2578_3623",24,13,14,11,22,11,81,30,175,180
"ADAMDEC1_ENSSSCG00000009645_ENSSSCT00000055181_73_1444_1478",0,1,0,0,79,0,1,1,1,0
"ADAMTS10_ENSSSCG00000026994_ENSSSCT00000063527_401_3707_4342",5,24,17,40,49,27,113,105,423,546
"ADAMTS12_ENSSSCG00000016816_ENSSSCT00000024262_326_5117_8826",0,5,0,1,4,1,9,0,29,9
"ADAMTS13_ENSSSCG00000021241_ENSSSCT00000022734_180_4575_4871",2,1,1,2,2,2,14,8,32,31
"ADAMTS14_ENSSSCG00000010272_ENSSSCT00000011243_51_3720_5145",0,109,1,199,267,0,1,1,1,1
"ADAMTS15_ENSSSCG00000015250_ENSSSCT00000016619_413_3263_5865",1,6,5,2,7,3,10,10,40,49
